1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
CDS	ECK0011	yaaW	yaaW	htgA -!- htpY	b0011	10643	11356	-	(no change)	JW0010	10643	11356	-		o	conserved protein		C		Cytoplasmic																	COG4735;Uncharacterized protein conserved in bacteria		PF03667;Uncharacterised protein family (UPF0174);5.5e-147;codon 39-235				
CDS	ECK0012	htgA	htgA	htpY -!- groPAB -!- groPC -!- groPF	b0012	10830	11315	+	start codon change	JW5001	10830	11315	+		o	predicted protein		C	92013929 -!- 93239687 -!- 94003405 -!- 8478327																							GO:0006457 protein folding -!- GO:0006350 transcription -!- GO:0009266 response to temperature	GO:0016563 transcriptional activator activity
CDS	ECK0013	yaaI	yaaI		b0013	11382	11786	-	(no change)	JW0012	11382	11786	-		o	predicted protein		C		Periplasmic								1-22															
CDS	ECK0014	dnaK	dnaK	grpF -!- seg -!- lop -!- groPAB -!- groPC -!- groPF -!- grpC	b0014	12163	14079	+	(no change)	JW0013	12163	14079	+		f	"chaperone Hsp70, co-chaperone with DnaJ"		E	###############################################################################################################################################################################################################################################################	Cytoplasmic				heteromultimer; DnaJ/DnaK/GrpE (b0014-b0015-b2614)	1.A.33; The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family												COG0443;Molecular chaperone	53067; Actin-like ATPase domain	PF00012;Hsp70 protein;0;codon 4-604		GO:0005737 cytoplasm	GO:0006457 protein folding -!- GO:0006970 response to osmotic stress	
CDS	ECK0015	dnaJ	dnaJ	groP -!- grpC	b0015	14168	15298	+	(no change)	JW0014	14168	15298	+		f	"chaperone Hsp40, co-chaperone with DnaK"		E	92236754 -!- 92274451 -!- 94038895 -!- 9822822 -!- 10210198 -!- 10891270 -!- 1826368 -!- 3003084 -!- 3003085 -!- 8764403	Cytoplasmic				heteromultimer; DnaJ/DnaK/GrpE (b0014-b0015-b2614)													COG0484;DnaJ-class molecular chaperone with C-terminal Zn finger domain		PF00226;DnaJ domain;1.4e-40;codon 5-70 -!- PF00684;DnaJ central domain (4 repeats);1.1e-49;codon 131-211 -!- PF01556;DnaJ C terminal region;3.6e-76;codon 224-345		GO:0005737 cytoplasm	GO:0006457 protein folding	
CDS	ECK0016	insL	insL-3	yi81-3	b2394	2512353	2513465	+	start codon change	JW5390	2519777	2520889	+	IS	ph	predicted transposase	IS186	C			IS186																COG3385;FOG: Transposase and inactivated derivatives		PF01609;Transposase DDE domain;5e-45;codon 113-350				
CDS	ECK0016	insL	insL-2	yi81-2	b0582	607288	608400	+	(no change)	JW0572	607288	608400	+		h	IS186/IS421 transposase		E	9689094		IS186																COG3385;FOG: Transposase and inactivated derivatives		PF01609;Transposase DDE domain;5e-45;codon 111-348				
CDS	ECK0016	insL	insL-1	yi81-1	b0016	15445	16557	+	(no change)	JW0015	15445	16557	+		h	IS186/IS421 transposase		E	9689094		IS186																COG3385;FOG: Transposase and inactivated derivatives		PF01609;Transposase DDE domain;5e-45;codon 111-348				
CDS	ECK0017	hokC	hokC	gef	b4412	16751	16903	-	(no change)	JW5002	16751	16903	-		m	"toxic membrane protein, small"	CDS overlaps with mokC	E	12824883 -!- 92048480 -!- 92048481 -!- 99291074 -!- 10361310 -!- 1943700 -!- 2693900					monomeric multimer; Gef dimer (b4412)	9.B.6; The Toxic Hok/Gef Protein (Hok/Gef) Family														PF01848;Hok/gef family;2.6e-26;codon 2-50				
CDS	ECK0018	mokC	mokC	gefL -!- gef	b0018	16751	16960	-	(no change)	JW5879	16751	16960	-	"shorter is hokC, longer is mokC"	r	"regulatory protein for HokC, overlaps CDS of hokC"		E	90136075 -!- 92048480 -!- 92048481 -!- 99291074																				PF01848;Hok/gef family;2.6e-26;codon 21-69				
misc_RNA	ECK0019	sokC	sokC	sof	b4413	16952	17006	+	(no change)	JWR0224	16952	17006	+		n	"regulatory, antisense RNA"	blocks mokC and hokC translation	E	99291074																								
CDS	ECK0020	nhaA	nhaA	ant -!- antA -!- hyc	b0019	17489	18655	+	(no change)	JW0018	17489	18655	+		t	sodium-proton antiporter		E	91250446 -!- 92283803 -!- 93131914	Integral Membrane Protein					2.A.33; The NhaA Na+:H+ Antiporter (NhaA) Family					10	11	in					COG3004;Na+/H+ antiporter		PF06965;Na+/H+ antiporter;1.6e-260;codon 4-380	TIGR00773;NhaA: Na+/H+ antiporter NhaA;1e-287;codon 7-380	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane	GO:0009268 response to pH	
CDS	ECK0021	nhaR	nhaR	yaaB -!- antO	b0020	18715	19620	+	(no change)	JW0019	18715	19620	+		r	DNA-binding transcriptional activator		E	92268083 -!- 94193576 -!- 2429258 -!- 3413113 -!- 8168494	Cytoplasmic						LysR							nhaA -!- osmC				COG0583;Transcriptional regulator		PF00126;Bacterial regulatory helix-turn-helix protei;1e-17;codon 8-67		GO:0005737 cytoplasm	GO:0006350 transcription -!- GO:0009268 response to pH	GO:0016563 transcriptional activator activity
CDS	ECK0022	insB	insB		unique to W3110	0	0			JW2285	2411473	2411976	-	IS1 -!- W3110 specific region	h	IS1 element protein		E			IS1																						
	ECK0022	insB	insB-7		b4576	4516744	4517247	+	pseudogene; interrupted by frameshift	JW4255+JW4256	4523401	4523904	+	ancestral gene	su	IS1 transposase InsAB' (pseudogene)					IS1																						
CDS	ECK0022	insB	insB-7_2		b4564	4517038	4517247	+	pseudogene fragment -!- new	JW4256	4523695	4523904	+	pseudogene	h	"IS1 transposase InsAB', C-ter fragment (pseudogene)"		E			IS1																		PF03400;Transposase_27: IS1 transposase;6.8e-26;codon 1-69				
CDS	ECK0022	insB	insB-7_1		b4563	4516744	4517037	+	pseudogene fragment -!- new	JW4255	4523401	4523694	+	pseudogene	h	"IS1 transposase InsAB', N-ter fragment (pseudogene)"		E			IS1																		PF03400;Transposase_27: IS1 transposase;1.3e-11;codon 37-97				
CDS	ECK0022	insB	insB-6		b3445	3581700	3582203	+	(no change)	JW3409	4056235	4056738	-		h	IS1 transposase InsAB'		E	9689094		IS1																		PF03400;IS1 transposase;2.9e-112;codon 37-167				
CDS	ECK0022	insB	insB-5		b1893	1976542	1977045	-	(no change)	unique to MG1655	336	336	-	"IS1 is inserted in strain MG, but IS5 is inserted at this region in strain W"	h	IS1 transposase InsAB'		E	9689094		IS1																"COG1662;Transposase and inactivated derivatives, IS1 family"		PF03400;IS1 transposase;2.9e-112;codon 37-167				
CDS	ECK0022	insB	insB-4		b0988	1049250	1049753	+	(no change)	JW0972	1050449	1050952	+		h	IS1 transposase InsAB'		E	9689094		IS1																"COG1662;Transposase and inactivated derivatives, IS1 family"		PF03400;IS1 transposase;1.2e-111;codon 37-167				
CDS	ECK0022	insB	insB-3		b0274	289873	290376	-	(no change)	JW0268	289873	290376	-		h	CP4-6 prophage; IS1 transposase InsAB'		E	9689094		cryptic prophage CP4-6 -!- IS1																"COG1662;Transposase and inactivated derivatives, IS1 family"		PF03400;IS1 transposase;1.3e-111;codon 37-167				
CDS	ECK0022	insB	insB-2		b0264	278402	278905	-	(no change)	JW0256	278402	278905	-		h	CP4-6 prophage; IS1 transposase InsAB'		E	9689094		cryptic prophage CP4-6 -!- IS1																"COG1662;Transposase and inactivated derivatives, IS1 family"		PF03400;IS1 transposase;1.3e-111;codon 37-167				
CDS	ECK0022	insB	insB-1		b0021	19811	20314	-	(no change)	JW0020	19811	20314	-		h	IS1 transposase InsAB'		E	9689094		IS1																"COG1662;Transposase and inactivated derivatives, IS1 family"		PF03400;IS1 transposase;2.9e-112;codon 37-167				
CDS	ECK0023	insA	insA		unique to W3110	0	0			JW2286	2411895	2412170	-	IS1 -!- W3110 specific region	h	IS1 element protein		E			IS1																						
CDS	ECK0023	insA	insA-4		b4516	1049056	1049331	+	new	JW0971	1050255	1050530	+	IS	h	IS1 repressor protein InsA		E																				46689; Homeodomain-like					
CDS	ECK0023	insA	insA-7		b4294	4516550	4516825	+	(no change)	JW4254	4523207	4523482	+		h	KpLE2 phage-like element; IS1 repressor protein InsA		E	1849492		KpLE2 phage-like element -!- IS1																	46689; Homeodomain-like	PF03811;Insertion element protein;3.6e-63;codon 1-88				
CDS	ECK0023	insA	insA-6		b3444	3581506	3581781	+	(no change)	JW3408	4056657	4056932	-		h	IS1 repressor protein InsA		E	9689094		IS1																COG3677;Transposase and inactivated derivatives	46689; Homeodomain-like	PF03811;Insertion element protein;7.1e-68;codon 1-88				
CDS	ECK0023	insA	insA-5		b1894	1976964	1977239	-	(no change)	unique to MG1655	336	336	-	"IS1 is inserted in strain MG, but IS5 is inserted at this region in strain W"	h	IS1 repressor protein InsA		E	9689094		IS1																COG3677;Transposase and inactivated derivatives	46689; Homeodomain-like	PF03811;Insertion element protein;7.1e-68;codon 1-88				
CDS	ECK0023	insA	insA-3		b0275	290295	290570	-	(no change)	JW0269	290295	290570	-		h	CP4-6 prophage; IS1 repressor protein InsA		E	9689094		cryptic prophage CP4-6 -!- IS1																COG3677;Transposase and inactivated derivatives	46689; Homeodomain-like	PF03811;Insertion element protein;4.3e-67;codon 1-88				
CDS	ECK0023	insA	insA-2		b0265	278824	279099	-	(no change)	JW0257	278824	279099	-		h	CP4-6 prophage; IS1 repressor protein InsA		E	9689094		cryptic prophage CP4-6 -!- IS1																COG3677;Transposase and inactivated derivatives	46689; Homeodomain-like	PF03811;Insertion element protein;4.3e-67;codon 1-88				
CDS	ECK0023	insA	insA-1		b0022	20233	20508	-	(no change)	JW0021	20233	20508	-		h	IS1 repressor protein InsA		E	9689094		IS1																COG3677;Transposase and inactivated derivatives	46689; Homeodomain-like	PF03811;Insertion element protein;7.1e-68;codon 1-88				
CDS	ECK0024	rpsT	rpsT	sup(s20) -!- supS20	b0023	20815	21078	-	(no change)	JW0022	20815	21078	-		s	30S ribosomal subunit protein S20		E	92011603 -!- 93138304 -!- 93247500 -!- 10094780 -!- 12244297 -!- 12809609 -!- 2429258 -!- 2985604 -!- 6267039 -!- 786731	Cytoplasmic														regulated by attenuation (rpsT)		1P87	COG0268;Ribosomal protein S20	46992; Ribosomal protein S20	PF01649;Ribosomal protein S20;6.1e-46;codon 2-85	TIGR00029;S20: ribosomal protein S20;2.4e-47;codon 1-87	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm	GO:0006412 protein biosynthesis	GO:0003735 structural constituent of ribosome
CDS	ECK0025	yaaY	yaaY		b0024	21181	21399	+	(no change)	JW5003	21181	21399	+		o	predicted protein		C		Membrane Anchored														regulated by attenuation (yaaY-ribF)									
CDS	ECK0026	ribF	ribF	yaaC	b0025	21407	22348	+	(no change)	JW0023	21407	22348	+		e	bifunctional riboflavin kinase and FAD synthetase		E	2985604 -!- 9743119	Cytoplasmic		2.7.1.26 -!- 2.7.7.2															COG0196;FAD synthase	52374; Nucleotidylyl transferase	PF06574;Riboflavin kinase (Flavokinase);5.5e-86;codon 16-168 -!- PF01687;Riboflavin kinase / FAD synthetase;4.1e-69;codon 184-308	TIGR00083;ribF: riboflavin biosynthesis protein RibF;1.9e-187;codon 19-308	GO:0005737 cytoplasm		
CDS	ECK0027	ileS	ileS	ilvS	b0026	22391	25207	+	(no change)	JW0024	22391	25207	+		e	isoleucyl-tRNA synthetase		E	91222233 -!- 93065273 -!- 2985604 -!- 6374664 -!- 6378662 -!- 6390679 -!- 7929087 -!- 9554847 -!- 2011499	Cytoplasmic		6.1.1.5	Zn2+														COG0060;Isoleucyl-tRNA synthetase	47323; Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases -!- 50677; ValRS/IleRS editing domain -!- 52374; Nucleotidylyl transferase	"PF00133;tRNA synthetases class I (I, L, M and V);0;codon 27-641 -!- PF06827;Zinc finger found in FPG and IleRS;5.3e-14;codon 898-927"	TIGR00392;ileS: isoleucyl-tRNA synthetase;0;codon 22-780	GO:0005737 cytoplasm	GO:0006418 amino acid activation	
CDS	ECK0028	lspA	lspA	dapB -!- ileS	b0027	25207	25701	+	(no change)	JW0025	25207	25701	+		e	prolipoprotein signal peptidase (signal peptidase II)		E	91373397 -!- 6378662	Integral Membrane Protein		3.4.23.36					A8 family; signal peptidase II			4	4	in					COG0597;Lipoprotein signal peptidase		PF01252;Signal peptidase (SPase) II;9.2e-91;codon 10-164	TIGR00077;lspA: lipoprotein signal peptidase;3.6e-94;codon 1-164	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane		
CDS	ECK0029	fkpB	fkpB	slpA -!- yaaD	b0028	25826	26275	+	(no change)	JW0026	25826	26275	+		e	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)		E	97332650 -!- 2011499	Cytoplasmic		5.2.1.8															COG1047;FKBP-type peptidyl-prolyl cis-trans isomerases 2	54534; FKBP-like	PF00254;FKBP-type peptidyl-prolyl cis-trans isomeras;2.7e-10;codon 1-141		GO:0005737 cytoplasm	GO:0006457 protein folding	
CDS	ECK0030	ispH	ispH	lytB -!- yaaE	b0029	26277	27227	+	(no change)	JW0027	26277	27227	+		c	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein"		E	12198182 -!- 12706830 -!- 21311595 -!- 21574179 -!- 21819424 -!- 93163053 -!- 98196746	Cytoplasmic		1.17.1.2	Co2+ -!- FAD -!- NADH														COG0761;Penicillin tolerance protein		PF02401;LytB protein;1e-192;codon 3-285	TIGR00216;ispH_lytB: 4-hydroxy-3-methylbut-2-enyl dip;9.4e-131;codon 2-285	GO:0005737 cytoplasm	GO:0042493 response to drug	
CDS	ECK0031	rihC	rihC	yaaF	b0030	27293	28207	+	(no change)	JW0028	27293	28207	+		e	ribonucleoside hydrolase 3		E	21125610	Cytoplasmic		3.2.2.-															COG1957;Inosine-uridine nucleoside N-ribohydrolase	53590; Nucleoside hydrolase	PF01156;Inosine-uridine preferring nucleoside hy;1.3e-179;codon 2-304			GO:0009226 nucleotide-sugar biosynthesis	
CDS	ECK0032	dapB	dapB		b0031	28374	29195	+	(no change)	JW0029	28374	29195	+		e	dihydrodipicolinate reductase		E	74169519 -!- 85054974 -!- 6377309 -!- 7893645 -!- 9398235	Cytoplasmic		1.3.1.26		monomeric multimer; dihydrodipicolinate reductase (b0031)													COG0289;Dihydrodipicolinate reductase	"51735; NAD(P)-binding Rossmann-fold domains -!- 55347; Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain"	"PF01113;Dihydrodipicolinate reductase, N-terminus;1.7e-60;codon 6-129 -!- PF05173;Dihydrodipicolinate reductase, C-terminus;2.2e-82;codon 132-269"	TIGR00036;dapB: dihydrodipicolinate reductase;3.8e-176;codon 5-271	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm	GO:0009089 lysine biosynthesis via diaminopimelate	
CDS	ECK0033	carA	carA	arg+ura -!- cap -!- pyrA -!- arg	b0032	29651	30799	+	(no change)	JW0030	29651	30799	+		e	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"		E	91113685 -!- 91217057 -!- 92172854 -!- 10029528 -!- 10089390 -!- 10428826 -!- 10587438 -!- 1334233 -!- 6308632 -!- 6330744 -!- 6377309 -!- 9174345 -!- 9298646 -!- 9636022	Cytoplasmic		6.3.5.5	Mg2+	heteromultimer; carbamoyl phosphate synthetase (b0033-b0032)			C26 family; non-peptidase homologues									1CE8	COG0505;Carbamoylphosphate synthase small subunit	"52021; Carbamoyl phosphate synthetase, small subunit N-terminal domain -!- 52317; Class I glutamine amidotransferase-like"	PF00988;Carbamoyl-phosphate synthase small ch;2.3e-93;codon 4-151 -!- PF00117;Glutamine amidotransferase class-I;1e-75;codon 195-373	TIGR01368;CPSaseIIsmall: carbamoyl-phosphate synt;9.1e-249;codon 5-376		GO:0006526 arginine biosynthesis -!- GO:0006221 pyrimidine nucleotide biosynthesis	
CDS	ECK0034	carB	carB	arg+ura -!- cap -!- pyrA	b0033	30817	34038	+	(no change)	JW0031	30817	34038	+		e	carbamoyl-phosphate synthase large subunit		E	91110549 -!- 91113685 -!- 91159438 -!- 91217057 -!- 91332909 -!- 92172854 -!- 99357782 -!- 10029528 -!- 10089390 -!- 10587438 -!- 6308632 -!- 6330744 -!- 6377309 -!- 9174345 -!- 9636022	Periplasmic		6.3.5.5	Mg2+	heteromultimer; carbamoyl phosphate synthetase (b0033-b0032)												1KEE	COG0458;Carbamoylphosphate synthase large subunit (split gene in MJ)	"48108; Carbamoyl phosphate synthetase, large subunit connection domain -!- 52335; Methylglyoxal synthase-like -!- 52440; Biotin carboxylase N-terminal domain-like -!- 56059; Glutathione synthetase ATP-binding domain-like"	PF00289;Carbamoyl-phosphate synthase L chain;6.2e-64;aa 6-126 -!- PF02786;Carbamoyl-phosphate synthase L chain;3.3e-136;aa 128-364 -!- PF02787;Carbamoyl-phosphate synthetase large chain;2.3e-68;aa 424-547 -!- PF00289;Carbamoyl-phosphate synthase L chain;3.8e-26;aa 558-672 -!- PF02786;Carbamoyl-phosphate synthase L chain;3e-26;aa 674-895 -!- PF02142;MGS-like domain;6.3e-32;aa 956-1042	TIGR01369;CPSaseII_lrg: carbamoyl-phosphate syntha;0;codon 2-1054		GO:0006526 arginine biosynthesis -!- GO:0006221 pyrimidine nucleotide biosynthesis	
CDS	ECK0035	caiF	caiF		b0034	34300	34695	+	start codon change	JW0033	34300	34695	+		r	DNA-binding transcriptional activator		E	96200092	Cytoplasmic													caiTABCDE -!- fixABCX								GO:0005737 cytoplasm	GO:0009310 amine catabolism -!- GO:0006350 transcription	GO:0016563 transcriptional activator activity
CDS	ECK0036	caiE	caiE		b0035	34781	35371	-	start codon change	JW5004	34781	35371	-		pe	predicted acyl transferase	stimulates activity of carnitine racemase and carnitine dehydrogenase	C	95115548																		"COG0663;Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily"	51161; Trimeric LpxA-like enzymes	PF00132;Bacterial transferase hexapeptide (three rep;1.1;codon 35-52 -!- PF00132;Bacterial transferase hexapeptide (three rep;13;codon 78-95 -!- PF00132;Bacterial transferase hexapeptide (three rep;0.014;codon 101-118			GO:0009310 amine catabolism -!- GO:0042413 carnitine catabolism	
CDS	ECK0037	caiD	caiD	yaaL	b0036	35377	36270	-	(no change)	JW0035	35377	36270	-		e	crotonobetainyl CoA hydratase		E	21435666 -!- 97189569 -!- 7815937	Cytoplasmic		4.2.1.-															COG1024;Enoyl-CoA hydratase/carnithine racemase	52096; ClpP/crotonase	PF00378;Enoyl-CoA hydratase/isomerase family;1.4e-87;codon 50-217			GO:0009310 amine catabolism -!- GO:0042413 carnitine catabolism	
CDS	ECK0038	caiC	caiC	yaaM	b0037	36271	37839	-	(no change)	JW0036	36271	37839	-		pe	predicted crotonobetaine CoA ligase:carnitine CoA ligase		C	97189569 -!- 7815937	Cytoplasmic		6.3.2.-			9.B.17; The Putative Fatty Acid Transporter (FAT) Family													56801; Firefly luciferase-like	PF00501;AMP-binding enzyme;2.2e-124;codon 44-456		GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane	GO:0009310 amine catabolism	
CDS	ECK0039	caiB	caiB	yaaN	b0038	37898	39115	-	(no change)	JW0037	37898	39115	-		e	crotonobetainyl CoA:carnitine CoA transferase		E	21435666 -!- 94245624 -!- 95115548 -!- 99227081 -!- 15518548 -!- 10339822	Cytoplasmic		2.8.3.-		monomeric multimer; gamma-butyrobetainyl-CoA:carnitine CoA transferase (b0038)													COG1804;Predicted acyl-CoA transferases/carnitine dehydratase		PF02515;CoA-transferase family III;9e-98;codon 69-260		GO:0005737 cytoplasm	GO:0042413 carnitine catabolism -!- GO:0009310 amine catabolism	
CDS	ECK0040	caiA	caiA	yaaO	b0039	39244	40386	-	(no change)	JW0038	39244	40386	-		e	"crotonobetaine reductase subunit II, FAD-binding"		E	97189569 -!- 99227081 -!- 7815937	Cytoplasmic		1.3.99.-	FAD														COG1960;Acyl-CoA dehydrogenases	"47203; Acyl-CoA dehydrogenase (flavoprotein), C-terminal domain -!- 56645; Acyl-CoA dehydrogenase (flavoprotein), N-terminal and middle domains"	"PF02771;Acyl-CoA dehydrogenase, N-terminal doma;3.5e-53;codon 6-119 -!- PF02770;Acyl-CoA dehydrogenase, middle domain;3.9e-58;codon 123-223 -!- PF00441;Acyl-CoA dehydrogenase, C-terminal doma;9.9e-60;codon 227-376"		GO:0005737 cytoplasm	GO:0006097 glyoxylate cycle -!- GO:0009310 amine catabolism -!- GO:0042413 carnitine catabolism	GO:0009054 electron acceptor activity
CDS	ECK0041	caiT	caiT	yaaT -!- yaaP	b0040	40417	41931	-	(no change)	JW0039	40417	41931	-		pt	predicted transporter		C	12163501 -!- 9573142 -!- 9871325 -!- 7815937	Integral Membrane Protein					2.A.15; The Betaine/Carnitine/Choline Transporter (BCCT) Family					12	12						COG1292;Choline-glycine betaine transporter		PF02028;BCCT family transporter;0;codon 14-501	TIGR00842;bcct: choline/carnitine/betaine transport;4.3e-266;codon 52-501	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane	GO:0016052 carbohydrate catabolism	
CDS	ECK0042	fixA	fixA	yaaQ	b0041	42403	43173	+	start codon change	JW0040	42403	43173	+		pe	"predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain"	role in anaerobic carnitine metabolism	C	9573142 -!- 96066354 -!- 12081978	Cytoplasmic																	"COG2086;Electron transfer flavoprotein, beta subunit"	52431; ETFP adenine nucleotide-binding domain-like	PF01012;Electron transfer flavoprotein beta subunit;2.6e-113;codon 13-268			GO:0016052 carbohydrate catabolism	
